# num_ytids=2041789, num_segs=2041789, num_unique_labels=527, num_positive_labels=4020212
# YTID, start_seconds, end_seconds, positive_labels
0Ert9QkHj8E,80.0,90.0,"/m/04rlf,/m/09x0r,/t/dd00128"
5wpmjCOnunA,270.0,280.0,"/m/04_sv,/m/07yv9,/m/09x0r,/m/0ltv,/t/dd00128"
7RrdY5gk-Ew,40.0,50.0,/t/dd00128
0-iSQjmmhB0,20.0,30.0,"/m/04rlf,/m/09x0r,/t/dd00128"
AVTdFFcxkrk,100.0,110.0,"/m/09x0r,/t/dd00128"
09PPieEM2G4,200.0,210.0,"/m/04rlf,/m/07qfr4h,/m/09x0r,/t/dd00128"
-4-QMo4t9FU,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
32gGPiBp66I,0.0,10.0,"/m/07yv9,/m/09x0r,/t/dd00128"
LY5gJwdjJhE,0.0,10.0,"/m/09x0r,/t/dd00128"
IfumLoyh4oc,80.0,90.0,"/m/04_sv,/m/07yv9,/t/dd00128"
LegNpOK1o6A,40.0,50.0,"/m/02lkt,/m/04rlf,/t/dd00128"
8neTwPRGNSI,200.0,210.0,"/m/02mk9,/m/09x0r,/t/dd00128"
NIZMUFUzb6E,140.0,150.0,"/m/015lz1,/m/04rlf,/m/07rwj3x,/t/dd00128"
CXud1KBsJqs,210.0,220.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
5wh2tcB6Wsg,30.0,40.0,"/m/04rlf,/m/07xzm,/t/dd00128"
Di1KkW3AyQs,0.0,10.0,"/m/09x0r,/t/dd00128"
C0WL7tiDcn4,360.0,370.0,"/m/04_sv,/m/07yv9,/m/09x0r,/t/dd00128"
Aku1W8U-gpo,530.0,540.0,"/m/09x0r,/t/dd00128"
CEaf1YI8csE,9.0,19.0,"/m/028v0c,/m/09x0r,/t/dd00128"
Ho6VCIrDuBk,210.0,220.0,"/m/09x0r,/t/dd00128"
HPeniH33G54,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
BkOvFmcNnTk,310.0,320.0,"/m/015lz1,/m/04rlf,/t/dd00128"
5xBWqrTUq-U,50.0,60.0,"/m/07pqn27,/m/09x0r,/t/dd00125,/t/dd00128"
KNg7yuiRJrc,30.0,40.0,"/m/09x0r,/t/dd00128"
3OUajC4aUSg,130.0,140.0,"/m/07yv9,/t/dd00128"
IG3QF-BTM1g,130.0,140.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
AHdmcfHZycM,300.0,310.0,"/m/04_sv,/m/07yv9,/m/09x0r,/t/dd00128"
HuJjAhSNXDk,140.0,150.0,"/m/07yv9,/m/0k4j,/t/dd00128"
4dwCN2B5wts,30.0,40.0,"/m/09x0r,/t/dd00128"
10KjEIzj-aM,350.0,360.0,"/m/04rlf,/m/09x0r,/t/dd00128"
LxhQ3n3iDz4,30.0,40.0,"/m/07jdr,/m/07yv9,/t/dd00128"
Bgu9n_O_jHQ,180.0,190.0,"/m/07yv9,/t/dd00128"
AXPlNXWle3Y,0.0,10.0,"/m/04rlf,/m/09x0r,/t/dd00128"
66ZtHsudtnw,360.0,370.0,"/m/09x0r,/t/dd00128"
EXM-wgH46OI,80.0,90.0,/t/dd00128
2i5hrJ_CRMQ,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
2XzAti5Kkr0,40.0,50.0,"/m/09x0r,/t/dd00128"
8CJPFp0e1bY,30.0,40.0,"/m/09x0r,/t/dd00125,/t/dd00128"
3GGQA_A_DY0,0.0,10.0,"/m/0199g,/m/07yv9,/t/dd00128"
5Xr0vgVu78E,30.0,40.0,"/m/09x0r,/t/dd00127,/t/dd00128"
KYxzJcHV8bI,480.0,490.0,"/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128"
JkTnSrhwCzc,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
68EkUF93ECQ,530.0,540.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
9p7H1mWR3MM,30.0,40.0,"/m/015p6,/m/09x0r,/t/dd00128"
H2reUbN2QKQ,510.0,520.0,"/m/06d_3,/m/07jdr,/m/07yv9,/t/dd00048,/t/dd00128"
5u0XlvzasPk,170.0,180.0,"/m/09x0r,/t/dd00128"
A-jeYaBsbQ8,20.0,30.0,"/m/09x0r,/m/0k4j,/t/dd00128"
D14ZI2B-q2E,240.0,250.0,"/m/04rlf,/t/dd00128"
CeSrLqjo1OE,530.0,540.0,"/m/07yv9,/m/0k4j,/t/dd00128"
NqrzKxk30AM,170.0,180.0,"/m/026t6,/m/04rlf,/t/dd00128"
-q51mLqVgZw,14.0,24.0,"/m/07jdr,/m/07yv9,/t/dd00128"
KOMWO-ANJIM,430.0,440.0,"/m/07yv9,/m/0k4j,/m/0ltv,/t/dd00128"
CV2I4Qwqj7U,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
EyId2TH2Q8U,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00128"
4_pNxKJDZl8,30.0,40.0,"/m/015p6,/m/09x0r,/m/0h0rv,/t/dd00128"
NbC_XMis3HE,30.0,40.0,"/m/09x0r,/m/0bt9lr,/t/dd00128"
LV_jVYbA4KM,100.0,110.0,"/m/07yv9,/t/dd00067,/t/dd00128"
Bwbc6yg6DS8,310.0,320.0,"/m/09x0r,/m/0lyf6,/t/dd00128"
HY8hsf0KUAY,30.0,40.0,"/m/09x0r,/t/dd00128"
7f2g9bvzehQ,0.0,7.0,"/m/09x0r,/t/dd00128"
I_8MTASGpwQ,40.0,50.0,"/m/09x0r,/t/dd00128"
0iIT1o8hInQ,20.0,30.0,"/m/09x0r,/t/dd00128"
MUUpoBPjFRo,380.0,390.0,"/m/09x0r,/t/dd00128"
FCYaMhwq9CQ,30.0,40.0,"/m/09x0r,/t/dd00128"
E1cBHRlZv1k,130.0,140.0,/t/dd00128
5CPK9KFPfQ4,120.0,130.0,"/m/04rlf,/t/dd00037,/t/dd00128"
AdPa0PGGesE,150.0,160.0,"/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00128"
3gjwOT81Uy0,40.0,50.0,"/m/09x0r,/t/dd00128"
6jMVVPnN9vc,30.0,40.0,"/m/09x0r,/t/dd00128"
GlWqRfx0sLE,30.0,40.0,"/m/09x0r,/t/dd00128"
6mQ99wny1J0,180.0,190.0,"/m/014yck,/m/07yv9,/m/0k5j,/t/dd00128"
8Lec1GU3pE8,30.0,40.0,"/m/09x0r,/t/dd00128"
BQWDIX1eYF8,280.0,290.0,"/m/09x0r,/t/dd00128"
78Qoz3-TN7g,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
2QYhsCqcgZo,40.0,50.0,"/m/015lz1,/m/04rlf,/t/dd00128"
EBpFVqLunpY,390.0,400.0,"/m/07yv9,/m/09x0r,/t/dd00128"
7QdY0YHHdPQ,490.0,500.0,"/m/09x0r,/t/dd00128"
6K3UV4aod-s,30.0,40.0,"/m/09x0r,/t/dd00128"
Cm8bhbgtMa0,100.0,110.0,"/m/09x0r,/t/dd00128"
OKG8dWSKKvY,490.0,500.0,"/m/09x0r,/t/dd00128"
-iMJs7ENgD0,30.0,40.0,"/m/09x0r,/t/dd00128"
EM4j1dcuQnc,22.0,32.0,"/m/09x0r,/t/dd00128"
EvXvshYDsAU,220.0,230.0,"/m/09x0r,/t/dd00128"
LiqXoknTUF0,60.0,70.0,"/m/04rlf,/m/09x0r,/t/dd00128"
Lua4q-nDqLw,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00128"
NWXu1BzUSxE,20.0,30.0,"/m/09x0r,/t/dd00128"
1EyGyQcbsbU,180.0,190.0,"/m/04rlf,/m/09x0r,/t/dd00128"
7nkb7jpiYGU,550.0,560.0,"/m/07rkbfh,/m/09x0r,/t/dd00128"
CGONggVU5V0,21.0,31.0,"/m/07yv9,/t/dd00128"
-Fq1jmCmAO8,70.0,80.0,/t/dd00128
5nDABTIc_Fg,130.0,140.0,"/m/012f08,/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
8wbtFUJBRmE,30.0,40.0,"/m/09x0r,/t/dd00128"
G83v-uMu4y4,16.0,26.0,/t/dd00128
56785fdBuQg,400.0,410.0,"/m/04rlf,/m/09x0r,/t/dd00128"
3UcFvDOCMLA,60.0,70.0,"/m/019jd,/m/07yv9,/m/09x0r,/t/dd00128"
HsKlIyZ8iQM,160.0,170.0,"/m/04rlf,/m/06_fw,/t/dd00128"
GQZNLbnJaww,120.0,130.0,"/m/04rlf,/m/09x0r,/t/dd00128"
6YoGdRJ9NmY,30.0,40.0,"/m/04rlf,/t/dd00128"
C3ZrUyT-B5s,360.0,370.0,"/m/02g901,/m/09x0r,/m/0jbk,/t/dd00128"
NNYWUrjLeqw,10.0,20.0,"/m/04rlf,/m/09x0r,/t/dd00128"
1VoEurVAF10,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
04Ta9pc5m3s,30.0,40.0,/t/dd00128
0YW12nhnVjQ,20.0,30.0,/t/dd00128
KfN2XXqXux0,170.0,180.0,"/m/04rlf,/m/07szfh9,/t/dd00128"
MY0s1WndHoI,20.0,30.0,"/m/03m9d0z,/m/07yv9,/m/09x0r,/t/dd00128"
ELwykw0jcUo,26.0,36.0,"/m/06h7j,/m/09x0r,/t/dd00128"
4-5M0lhN27Y,340.0,350.0,"/m/0g6b5,/t/dd00128"
-qLMAXsWdyk,30.0,40.0,"/m/09x0r,/t/dd00128"
0ciqurcvtfk,290.0,300.0,"/m/09x0r,/t/dd00125,/t/dd00128,/t/dd00129"
HdiRZhud6aA,30.0,40.0,"/m/015p6,/m/09x0r,/m/0h0rv,/t/dd00128"
1o0omq48-Cs,30.0,40.0,"/m/04_sv,/m/07yv9,/t/dd00128"
LhSUzGvesD8,120.0,130.0,"/m/04_sv,/m/07yv9,/m/0h9mv,/t/dd00128"
8b4aEnaqVg8,50.0,60.0,"/m/06_fw,/m/09x0r,/t/dd00128"
6vkhOAR6RrY,26.0,36.0,"/m/09x0r,/t/dd00128"
M-6w5GpaTfo,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
FwMVIm1tj40,230.0,240.0,"/m/07rkbfh,/m/09x0r,/t/dd00128"
8gWXUhnwgy0,4.0,14.0,"/m/09x0r,/t/dd00128"
6lt3CbUkQXc,30.0,40.0,"/m/09x0r,/t/dd00128"
07eT8Fw2yqQ,580.0,590.0,/t/dd00128
O2NMEs_9uBY,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00128"
1ChahkPlhYQ,10.0,20.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00128"
2pdtLjlcQrw,60.0,70.0,"/m/07r04,/m/07yv9,/m/0k4j,/t/dd00128"
BO0P726bgTM,10.0,20.0,"/m/04_sv,/m/07yv9,/t/dd00128"
CvGEblJJ2-c,60.0,70.0,/t/dd00128
G-_X0kBPtCk,0.0,10.0,"/m/07r04,/m/07yv9,/m/0ltv,/t/dd00128"
8iJkYxdeiWY,240.0,250.0,"/m/09x0r,/t/dd00128"
M2Yaq8KivBc,70.0,80.0,"/m/07yv9,/t/dd00128"
I03WRAe8S98,70.0,80.0,"/m/07yv9,/t/dd00128"
BRt6HinRbAE,300.0,310.0,"/m/09x0r,/t/dd00128"
8EhYeJ_EEQA,220.0,230.0,"/m/07r04,/m/07yv9,/m/09x0r,/t/dd00128"
-Pn-5Z9jHWc,60.0,70.0,"/m/09x0r,/t/dd00128"
KNd4nBGlM3k,60.0,70.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
DUuUdLXCM3o,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
DPQqQu1EPkQ,0.0,10.0,"/m/04rlf,/t/dd00128"
A013tzZdTpg,4.0,14.0,"/m/01bjv,/m/07yv9,/m/0912c9,/m/09x0r,/t/dd00128"
KQCGaBu-rBw,30.0,40.0,"/m/03qtwd,/m/09x0r,/t/dd00128"
H_MdjCRckLw,350.0,360.0,"/m/07yv9,/m/09x0r,/m/0k4j,/m/0ltv,/t/dd00128"
LEYLtjhSyxg,200.0,210.0,"/m/09x0r,/t/dd00128"
8sApdJJAnG8,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00128"
ALTlXH1KLQs,40.0,50.0,"/m/07qfr4h,/m/09x0r,/t/dd00128"
EwB5tLetc1Q,30.0,40.0,"/m/09x0r,/t/dd00128"
JL5KQsHiOus,0.0,10.0,"/m/09x0r,/t/dd00128"
-9kdh0JpFaI,22.0,32.0,"/m/09x0r,/t/dd00128"
302hJB7boVM,30.0,40.0,"/m/0912c9,/m/09x0r,/t/dd00128"
5AUVZzgpH6M,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
C7RVL4aRnaM,7.0,17.0,"/m/04_sv,/m/07yv9,/m/0912c9,/m/09x0r,/t/dd00128"
0VDiELQbsoQ,220.0,230.0,"/m/07r04,/m/07yv9,/t/dd00128"
LK39n0uzsiA,30.0,40.0,"/m/09x0r,/t/dd00128"
AWeUYd0M3_Q,90.0,100.0,"/m/09x0r,/t/dd00128"
JQt1PIIxE74,29.0,39.0,"/m/09x0r,/t/dd00128"
1hBTIn1ZD_U,30.0,40.0,"/m/09x0r,/t/dd00128"
H-uZcslkdo8,30.0,40.0,"/m/09x0r,/t/dd00128"
7jg7IfAPN8g,30.0,40.0,"/m/04rlf,/m/06h7j,/t/dd00128,/t/dd00129"
E2d2lx59_o0,30.0,40.0,"/m/09x0r,/t/dd00128"
ObGg6t8RM7w,260.0,270.0,/t/dd00128
-slV2n_jZdY,200.0,210.0,"/m/04rlf,/m/09x0r,/t/dd00128"
3fKupk-2pYo,30.0,40.0,"/m/09x0r,/t/dd00128"
GgMZQ6zzxPU,30.0,40.0,"/m/04rlf,/t/dd00128"
FQlvX4sq3h8,210.0,220.0,"/m/04rlf,/m/09x0r,/t/dd00128"
C8E9C_hSzXA,350.0,360.0,"/m/07qfr4h,/m/09x0r,/t/dd00128"
2wu2NqDkrw4,30.0,40.0,"/m/07jdr,/m/07yv9,/m/0912c9,/t/dd00128"
71BX2bNChn8,10.0,20.0,"/m/09x0r,/t/dd00128"
79weOmFHUp0,90.0,100.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
La0BTrO4WFQ,50.0,60.0,"/m/07r04,/m/07yv9,/t/dd00128"
43fv3BIgiuY,30.0,40.0,"/m/09x0r,/t/dd00128"
7lPHmn7nYng,440.0,450.0,"/m/04rlf,/m/0ghcn6,/t/dd00128"
9o23xAdcWc4,30.0,40.0,/t/dd00128
0blkWYs14XI,70.0,80.0,"/m/09x0r,/t/dd00128"
JuoTd6dU_zE,10.0,20.0,"/m/01jwx6,/m/02mk9,/m/07yv9,/m/09x0r,/t/dd00128"
OP2UM8lUqnQ,2.0,12.0,"/m/07yv9,/m/0912c9,/m/09x0r,/t/dd00128"
CFvlMO72meg,30.0,40.0,"/m/09x0r,/t/dd00128"
6fCGsJRLIVU,380.0,390.0,"/m/09x0r,/t/dd00128"
-R0vGsEZMko,30.0,40.0,"/m/05zppz,/m/09x0r,/t/dd00128"
3jbDbpRROVE,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
P-0knkHw6Wg,30.0,40.0,"/m/015p6,/m/09x0r,/m/0h0rv,/t/dd00128"
KxWybuerTIU,30.0,40.0,"/m/04rlf,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
AWnt2DJfee8,60.0,70.0,"/m/04_sv,/m/07yv9,/m/09x0r,/t/dd00128"
8BfnKK8TVkI,30.0,40.0,"/m/09x0r,/t/dd00128"
AQfZWfzUE-I,20.0,30.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
NnbVk8wxN9w,3.0,13.0,"/m/09x0r,/t/dd00128"
HoxVwvY4Bjo,20.0,30.0,"/m/02mk9,/m/07yv9,/t/dd00128"
MhODBRlXoM4,30.0,40.0,"/m/09x0r,/t/dd00128"
1QsY2r7HbTM,60.0,70.0,"/m/03qtwd,/m/09x0r,/t/dd00128"
OPN8XlHkNQ4,40.0,50.0,"/m/07r04,/m/07yv9,/m/09x0r,/t/dd00128"
KHSGM7-lcME,250.0,260.0,"/m/04_sv,/m/07yv9,/m/0k4j,/t/dd00128"
GKDmS9fgGcM,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00128"
Nd5JlMb81dc,250.0,260.0,"/m/07k1x,/t/dd00128"
9debgHL2dXw,0.0,10.0,"/m/07yv9,/m/09x0r,/t/dd00128"
8jHYL2-MpOQ,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
8_POytIB6xc,30.0,40.0,"/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00128"
Eu6EeHbbilU,12.0,22.0,"/m/09x0r,/t/dd00128"
9NJSicpWIM4,90.0,100.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00128"
Dix2824dAq4,10.0,20.0,"/m/028v0c,/t/dd00128"
LNpQUB4b7OQ,530.0,540.0,/t/dd00128
8eqJusWtoBU,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
7wRfkZbXUE4,0.0,10.0,"/m/09x0r,/t/dd00128"
L4wWF0x-qeo,160.0,170.0,"/m/012f08,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
3f12SZTphso,40.0,50.0,"/m/07r04,/m/07yv9,/t/dd00128"
1_HfcAEwMOE,30.0,40.0,"/m/07jdr,/m/07yv9,/m/0912c9,/t/dd00128"
6RgTojldHj0,200.0,210.0,"/m/04rlf,/t/dd00036,/t/dd00128"
LsZDe56Quhw,24.0,34.0,"/m/09x0r,/t/dd00128"
AaQoE7lw22U,10.0,20.0,"/m/07yv9,/m/0k4j,/t/dd00128"
DCVrvSt9P3U,240.0,250.0,/t/dd00128
IAGgrXVf5uc,21.0,31.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00128"
GahkEwdK3TE,90.0,100.0,"/m/09x0r,/m/0g6b5,/t/dd00128"
JKs6qD2kS4c,50.0,60.0,"/g/122z_qxw,/m/0g6b5,/t/dd00128"
0544zFBjNpI,0.0,10.0,"/m/012ndj,/m/03j1ly,/m/09x0r,/t/dd00128"
MjJM0reI5x0,30.0,40.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
7aYia42ZQJE,30.0,40.0,"/m/01b9nn,/m/04rlf,/m/07qn4z3,/t/dd00128"
0R_WvX59LIs,30.0,40.0,"/m/09x0r,/t/dd00128"
3NuATQ4Q0Go,30.0,40.0,"/m/09x0r,/t/dd00128"
9FKxfs16DjE,260.0,270.0,"/m/09x0r,/t/dd00128"
EpKwE-tUme4,80.0,90.0,"/m/07phhsh,/t/dd00128"
06rwAMvyW8s,0.0,3.0,"/m/0912c9,/t/dd00128"
5vuwzWE24N4,0.0,10.0,"/m/04rlf,/t/dd00128"
GH876829Ko4,20.0,30.0,/t/dd00128
E5rSu_ZFyi0,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
IqJS7NUmc8U,220.0,230.0,"/m/07yv9,/m/0k4j,/t/dd00128"
EISoc6fLnYw,30.0,40.0,"/m/07yv9,/t/dd00128"
GfkeR_7HKf4,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
HU3VcQPNuGo,200.0,210.0,"/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00128"
BzlglZugkeo,60.0,70.0,"/m/04rlf,/m/07yv9,/t/dd00128"
-bnvmQgstTg,30.0,40.0,"/m/05zppz,/m/09x0r,/t/dd00128"
EozynDt6-vs,30.0,40.0,"/m/09x0r,/t/dd00128"
59fC-o_GnvI,30.0,40.0,"/m/04rlf,/m/06h7j,/m/09x0r,/t/dd00128"
7hJkZjIDjjI,30.0,40.0,"/m/01g50p,/m/07jdr,/m/07yv9,/t/dd00128"
4CwLI7BhXRQ,0.0,10.0,"/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128"
-KXS3QjY3OA,30.0,40.0,"/m/03qtwd,/m/09x0r,/t/dd00128"
0GZb4Qxz4Hg,30.0,40.0,"/m/03qtwd,/m/04rlf,/m/09x0r,/t/dd00128"
IQeqiA9QdF4,0.0,10.0,"/m/028v0c,/m/04rlf,/m/09x0r,/t/dd00128"
1A94yt8jcBU,0.0,10.0,"/m/0912c9,/t/dd00128"
2D1nqqN3JHw,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
4b0CmTDlMlg,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00128"
3TB0dB1r59M,10.0,20.0,"/m/0284vy3,/m/04zmvq,/m/07jdr,/m/07yv9,/t/dd00128"
0nMq9Pgq3QU,130.0,140.0,"/m/09x0r,/m/0g6b5,/t/dd00128"
7u1t8p_p2mw,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00128"
FAwB57mdldA,30.0,40.0,"/g/122z_qxw,/t/dd00128"
HEEmtfXCSp8,30.0,40.0,"/m/015p6,/m/0h0rv,/t/dd00128"
4pLOA3DxbBA,280.0,290.0,"/m/04_sv,/m/07yv9,/t/dd00128"
1n4OEhiZQpY,530.0,540.0,"/m/012f08,/m/04rlf,/m/0k4j,/t/dd00128,/t/dd00134"
M9Uit6kO618,40.0,50.0,"/m/05tny_,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00128"
Mz0-wFyjieM,0.0,8.0,"/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00128"
HTwfkYZVS2I,200.0,210.0,"/m/04rlf,/t/dd00128"
JyEADw2snGc,0.0,10.0,"/m/07yv9,/m/0k4j,/t/dd00128"
74C0U1HrH8w,30.0,40.0,"/m/04rlf,/m/06h7j,/m/09x0r,/t/dd00128"
BqzpgshUKYE,250.0,260.0,"/m/09x0r,/t/dd00128"
JYWRa6oj7YI,0.0,10.0,"/m/04rlf,/m/09x0r,/t/dd00128"
6C5RKl36VYU,400.0,410.0,"/m/04rlf,/m/09x0r,/t/dd00128"
9Mj9zHDsrHE,30.0,40.0,"/m/07jdr,/m/07yv9,/t/dd00128"
ORH_zGE51kU,8.0,18.0,"/m/0912c9,/m/09x0r,/t/dd00128"
7vwPedeWsno,28.0,38.0,"/m/09x0r,/t/dd00128"
2D4bDOIAkDA,30.0,40.0,/t/dd00128
JoTJv-sDtWI,80.0,90.0,"/m/07yv9,/t/dd00128"
4bV2fjMkSgk,30.0,40.0,"/m/015p6,/m/09x0r,/m/0h0rv,/t/dd00128"
AXaZ3CK78z0,30.0,40.0,"/m/07jdr,/m/07yv9,/m/0912c9,/t/dd00128"
2lq5avTX1Zw,30.0,40.0,"/m/07yv9,/m/09x0r,/t/dd00128"
FUxnpKxxTL8,50.0,60.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128"
HqD2R4y3dlI,40.0,50.0,"/m/07yv9,/t/dd00128"
Djtx8oQfkR0,100.0,110.0,"/m/06_fw,/m/09x0r,/t/dd00126,/t/dd00128"
8ZNfLWmdEko,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
4unCs9MHTQk,30.0,40.0,"/m/0jbk,/t/dd00128"
7P3PTK96CY8,290.0,300.0,"/m/01d380,/t/dd00128"
KWQSvNZD-90,0.0,10.0,"/m/09x0r,/t/dd00128"
-hy8DJkVj_E,30.0,40.0,"/m/09x0r,/t/dd00128"
57X5NS3wP48,40.0,50.0,/t/dd00128
0czvwaaYKWQ,30.0,40.0,"/m/0h0rv,/m/0jbk,/t/dd00128"
Lq3sCvDG7QQ,30.0,40.0,"/m/06h7j,/m/09x0r,/t/dd00128"
KJf8x-kijp0,70.0,80.0,/t/dd00128
3Y9kHdvaNUQ,30.0,40.0,"/m/09x0r,/t/dd00125,/t/dd00128"
C09E84rDV7M,130.0,140.0,"/m/07yv9,/m/09x0r,/t/dd00128"
51a3NIZ8qxM,80.0,90.0,"/m/0199g,/m/07yv9,/t/dd00128"
9mMs-C9hID0,30.0,40.0,/t/dd00128
D2f5yYHQyvA,30.0,40.0,"/m/09x0r,/t/dd00128"
